id,visningsnamn,varumarke,kategori,bild_url,taggar
harfarg-brown-5-0-1-p-olia,Hårfärg Brown 5.0 1-p Olia,Olia,Hårfärg,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/54274da7-ae88-4658-ae79-556fb04c5d94/500x500.jpg,"olia,hårfärg brown 5.0 1-p olia"
harfarg-876-noble-mahogony-1-p-brillance-schwartzkopf,Hårfärg 876 Noble Mahogony 1-p Brillance Schwartzkopf,Brillance Schwartzkopf,Hårfärg,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/c127a434-9973-4917-a42d-dca0895e449c/500x500.jpg,"brillance schwartzkopf,hårfärg 876 noble mahogony 1-p brillance schwartzkopf"
tillfallig-harfarg-brown-120ml-schwartzkopf-root-retoucher,Tillfällig Hårfärg Brown 120ml Schwartzkopf Root Retoucher,Root Retoucher,Hårfärg,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/3040fdab-ccce-4552-890b-ef5ad5aff618/500x500.jpg,"root retoucher,tillfällig hårfärg brown 120ml schwartzkopf root retoucher"
harfarg-4-0-natural-dark-brown-1-p-creme-supreme,Hårfärg 4-0 Natural Dark Brown 1-p Creme Supreme,Creme Supreme,Hårfärg,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/437dd4c1-39ef-4855-b99b-7a4e927d33b0/500x500.jpg,"creme supreme,hårfärg 4-0 natural dark brown 1-p creme supreme"
harfarg-890-black-1-p-brillance-schwartzkopf,Hårfärg 890 Black 1-p Brillance Schwartzkopf,Brillance Schwartzkopf,Hårfärg,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/5ce6d501-3977-4770-b900-3ab822d91b87/500x500.jpg,"brillance schwartzkopf,hårfärg 890 black 1-p brillance schwartzkopf"
harfarg-9-1-kristallblond-1-p-palette,Hårfärg 9-1 Kristallblond 1-p Palette,Palette,Hårfärg,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/93e4b9ca-902d-4823-9a2a-bb858e9cb467/500x500.jpg,"palette,hårfärg 9-1 kristallblond 1-p palette"
harfarg-universal-nudes-dark-blonde-1-p-excellence,Hårfärg Universal Nudes Dark Blonde 1-p Excellence,Excellence,Hårfärg,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/a21541aa-ffcf-4949-8326-c94696ef807e/500x500.jpg,"excellence,hårfärg universal nudes dark blonde 1-p excellence"
harfarg-921-boho-copper-1-p-brillance-schwartzkopf,Hårfärg 921 Boho Copper 1-p Brillance Schwartzkopf,Brillance Schwartzkopf,Hårfärg,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/5912aaf2-c5f3-4f58-9d7f-0d97611665f5/500x500.jpg,"brillance schwartzkopf,hårfärg 921 boho copper 1-p brillance schwartzkopf"
harfarg-4-0-cacao-1-p-nutrisse,Hårfärg 4.0 Cacao 1-p Nutrisse,Nutrisse,Hårfärg,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/f6cbdeb5-4678-4fca-aaaa-f0adec1933f1/500x500.jpg,"nutrisse,hårfärg 4.0 cacao 1-p nutrisse"
harfarg-5-3-light-golden-brown-1-p-nutrisse,Hårfärg 5.3 Light Golden Brown 1-p Nutrisse,Nutrisse,Hårfärg,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/f25e0696-5211-4072-9ec1-1d26e7f98386/500x500.jpg,"nutrisse,hårfärg 5.3 light golden brown 1-p nutrisse"
tillfallig-harfarg-dark-blonde-120ml-schwartzkopf-root-retoucher,Tillfällig Hårfärg Dark Blonde 120ml Schwartzkopf Root Retoucher,Root Retoucher,Hårfärg,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/60b95bb0-19aa-45af-89b6-cb5f0fc701fb/500x500.jpg,"root retoucher,tillfällig hårfärg dark blonde 120ml schwartzkopf root retoucher"
harfarg-medium-blonde-8-132-1-p-nutrisse,Hårfärg Medium Blonde 8.132 1-p Nutrisse,Nutrisse,Hårfärg,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/d2d80990-fa7e-41a5-907a-031c7976427a/500x500.jpg,"nutrisse,hårfärg medium blonde 8.132 1-p nutrisse"
harfarg-9-very-light-blonde-1-p-excellence,Hårfärg 9 Very light blonde 1-p Excellence,Excellence,Hårfärg,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/23af9d29-3ea5-4bf3-8db3-a32d0034da69/500x500.jpg,"excellence,hårfärg 9 very light blonde 1-p excellence"
harfarg-4-0-mellanbrun-1-p-palette,Hårfärg 4-0 Mellanbrun 1-p Palette,Palette,Hårfärg,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/89be8551-7dfc-45b0-96f3-fe323af0a229/500x500.jpg,"palette,hårfärg 4-0 mellanbrun 1-p palette"
harfarg-8-16-ljus-askblond-1-p-palette,Hårfärg 8-16 Ljus Askblond 1-p Palette,Palette,Hårfärg,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/0eb96c6f-a749-4ad5-9da3-7a01b07fd031/500x500.jpg,"palette,hårfärg 8-16 ljus askblond 1-p palette"
harfarg-872-intensive-red-1-p-brillance-schwartzkopf,Hårfärg 872 Intensive Red 1-p Brillance Schwartzkopf,Brillance Schwartzkopf,Hårfärg,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/fcd73e35-ea14-46d4-aafc-148a593870b9/500x500.jpg,"brillance schwartzkopf,hårfärg 872 intensive red 1-p brillance schwartzkopf"
harfarg-10-0-camomille-1-p-nutrisse,Hårfärg 10.0 Camomille 1-p Nutrisse,Nutrisse,Hårfärg,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/3247ed15-9f2e-4b9b-ba83-e6e6a08978a4/500x500.jpg,"nutrisse,hårfärg 10.0 camomille 1-p nutrisse"
harfarg-ebony-black-42-1-p-joanna,Hårfärg Ebony Black 42 1-p Joanna,Joanna,Hårfärg,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/d74851fc-65a4-4c02-a0cd-3d0ec89f075d/500x500.jpg,"joanna,hårfärg ebony black 42 1-p joanna"
harfarg-3-0-deep-dark-brown-1-p-nutrisse,Hårfärg 3.0 Deep Dark Brown 1-p Nutrisse,Nutrisse,Hårfärg,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/c8a1fcb2-9d03-4fa0-b801-e044c7d759a5/500x500.jpg,"nutrisse,hårfärg 3.0 deep dark brown 1-p nutrisse"
natural---easy-schwartzkopf-harfarg-566-matt-askbrun-natural---easy-1-p-schwartzkopf,Natural & Easy Schwartzkopf Hårfärg 566 Matt Askbrun Natural & Easy 1-p Schwartzkopf,Natural & Easy Schwartzkopf,Hårfärg,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/96cd1fbb-3bcb-4598-9005-e7bfc743b892/500x500.jpg,"natural & easy schwartzkopf,hårfärg 566 matt askbrun natural & easy 1-p schwartzkopf"
harfarg-ultra-color-6-6-intense-red-1-p-nutrisse,Hårfärg Ultra color 6.6 Intense red 1-p Nutrisse,Nutrisse,Hårfärg,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/ac8fb22c-618b-4cb3-8ef1-f0f92c87a71d/500x500.jpg,"nutrisse,hårfärg ultra color 6.6 intense red 1-p nutrisse"
harfarg-10-01-extra-light-pearl-1-p-miljomarkt-nutrisse,Hårfärg 10.01 Extra light pearl 1-p Miljömärkt Nutrisse,Nutrisse,Hårfärg,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/9b75fcec-1c28-4f3f-8b42-4274dc8118ec/500x500.jpg,"nutrisse,hårfärg 10.01 extra light pearl 1-p miljömärkt nutrisse"
harfarg-7-13-nude-dark-blonde-1-p-nutrisse,Hårfärg 7.13 Nude dark blonde 1-p Nutrisse,Nutrisse,Hårfärg,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/eccf85d7-024f-4408-95ce-01ca7f2ee3be/500x500.jpg,"nutrisse,hårfärg 7.13 nude dark blonde 1-p nutrisse"
harfarg-ultra-onyx-black-1-0-1-p-color-sensation-garnier,Hårfärg Ultra Onyx Black 1.0 1-p Color Sensation Garnier,Color Sensation Garnier,Hårfärg,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/712bbb2d-d185-4684-b73b-44a2f0587924/500x500.jpg,"color sensation garnier,hårfärg ultra onyx black 1.0 1-p color sensation garnier"
harfarg-ub-93-shocking-pink-1-p-schwarzkopf-live,Hårfärg UB 93 Shocking Pink 1-p Schwarzkopf Live,Schwarzkopf Live,Hårfärg,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/ade4b9ae-0b90-41d2-94f2-084f32c61fab/500x500.jpg,"schwarzkopf live,hårfärg ub 93 shocking pink 1-p schwarzkopf live"
harfarg-10-21-stockholm-extra-ljus-parlemorblond-1-p-rectical-préférence,Hårfärg 10.21 Stockholm Extra Ljus Pärlemorblond 1-p Rectical Préférence,Préférence,Hårfärg,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/c26d8cdd-aec8-43ec-a93f-3b8b95896f9e/500x500.jpg,"préférence,hårfärg 10.21 stockholm extra ljus pärlemorblond 1-p rectical préférence"
harfarg-dark-brown-4-0-1-p-olia,Hårfärg Dark Brown 4.0 1-p Olia,Olia,Hårfärg,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/76d46c03-7e88-4fb7-ac86-aa7e94bc9b56/500x500.jpg,"olia,hårfärg dark brown 4.0 1-p olia"
harfarg-9-0-aphrodite-1-p-miljomarkt-nutrisse,Hårfärg 9.0 Aphrodite 1-p Miljömärkt Nutrisse,Nutrisse,Hårfärg,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/92ce0d63-c004-42ec-8dba-890d9a942b51/500x500.jpg,"nutrisse,hårfärg 9.0 aphrodite 1-p miljömärkt nutrisse"
harfarg-6-0-cinnamon-1-p-nutrisse,Hårfärg 6.0 Cinnamon 1-p Nutrisse,Nutrisse,Hårfärg,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/c744b07c-7f9d-400a-a9d3-86d3af130f3e/500x500.jpg,"nutrisse,hårfärg 6.0 cinnamon 1-p nutrisse"
harfarg-universal-nudes-very-light-blonde-1-p-excellence,Hårfärg Universal Nudes Very Light Blonde 1-p Excellence,Excellence,Hårfärg,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/571cb6c1-fc73-42e1-80ce-220ab0640273/500x500.jpg,"excellence,hårfärg universal nudes very light blonde 1-p excellence"
harfarg-universal-nudes-dark-brown-1-p-excellence,Hårfärg Universal Nudes Dark Brown 1-p Excellence,Excellence,Hårfärg,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/1df6bb64-4d99-48d7-9096-22770734b8f2/500x500.jpg,"excellence,hårfärg universal nudes dark brown 1-p excellence"
harfarg-7-31-guldblond-1-p-excellence,Hårfärg 7.31 Guldblond 1-p Excellence,Excellence,Hårfärg,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/7103043c-6d90-4d35-9a72-ed20ba6b42bb/500x500.jpg,"excellence,hårfärg 7.31 guldblond 1-p excellence"
harfarg-night-black-1-0-1-p-olia,Hårfärg Night Black 1.0 1-p Olia,Olia,Hårfärg,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/182a0d18-10c2-487e-88a2-0a33a43ae087/500x500.jpg,"olia,hårfärg night black 1.0 1-p olia"
harfarg-880-dark-brown-1-p-brillance-schwartzkopf,Hårfärg 880 Dark Brown 1-p Brillance Schwartzkopf,Brillance Schwartzkopf,Hårfärg,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/ee85b0c6-343e-4e70-ab43-bf9ec172e747/500x500.jpg,"brillance schwartzkopf,hårfärg 880 dark brown 1-p brillance schwartzkopf"
harfarg-6-0-natural-light-brown-1-p-creme-supreme,Hårfärg 6-0 Natural Light Brown 1-p Creme Supreme,Creme Supreme,Hårfärg,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/ab867689-b129-421c-9c3b-dde1e9c46d14/500x500.jpg,"creme supreme,hårfärg 6-0 natural light brown 1-p creme supreme"
harfarg-555-mork-honungsblond-1-p-natural---easy-schwartzkopf,Hårfärg 555 Mörk Honungsblond 1-p Natural & Easy Schwartzkopf,Natural & Easy Schwartzkopf,Hårfärg,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/e19c36e0-88a8-4e99-a77b-b79a0a06bc1d/500x500.jpg,"natural & easy schwartzkopf,hårfärg 555 mörk honungsblond 1-p natural & easy schwartzkopf"
tillfallig-harfarg-black-120ml-schwartzkopf-root-retoucher,Tillfällig Hårfärg Black 120ml Schwartzkopf Root Retoucher,Root Retoucher,Hårfärg,https://handlaprivatkund.ica.se/images-v3/bf7a00ca-390e-4769-865f-dc369586872e/1c24ac2e-8d26-4fa9-9faf-ed40695d8788/500x500.jpg,"root retoucher,tillfällig hårfärg black 120ml schwartzkopf root retoucher"
